ISCO08,OEP08
0000,68
0100,78
0110,78
0200,67
0210,67
0300,63
0310,62
1000,81
1100,87
1110,85
1120,91
1200,84
1210,83
1220,86
1300,79
1310,70
1320,77
1330,90
1340,72
1400,52
1410,40
1420,52
1430,64
2000,71
2100,79
2110,78
2120,84
2130,70
2140,80
2150,84
2160,67
2200,73
2210,91
2220,63
2230,63
2240,73
2250,79
2260,58
2300,62
2310,77
2320,67
2330,67
2340,47
2350,59
2400,74
2410,80
2420,70
2430,76
2500,80
2510,81
2520,77
2600,65
2610,87
2620,51
2630,58
2640,67
2650,58
3000,55
3100,63
3110,63
3120,64
3130,56
3140,51
3150,85
3200,43
3210,44
3220,42
3230,38
3240,31
3250,36
3300,58
3310,57
3320,65
3330,59
3340,50
3350,62
3400,40
3410,45
3420,45
3430,41
3500,64
3510,65
3520,53
4000,38
4100,36
4110,41
4120,35
4130,26
4200,37
4210,43
4220,27
4300,40
4310,46
4320,38
4400,37
4410,37
5000,23
5100,21
5110,41
5120,21
5130,12
5140,13
5150,30
5160,25
5200,22
5210,17
5220,24
5230,12
5240,19
5300,18
5310,13
5320,20
5400,50
5410,50
6000,22
6100,26
6110,27
6120,21
6130,28
6200,32
6210,32
6220,34
6300,21
6310,21
6320,21
6330,21
6340,21
7000,43
7100,40
7110,42
7120,45
7130,33
7200,46
7210,42
7220,44
7230,49
7300,40
7310,35
7320,44
7400,53
7410,54
7420,50
7500,28
7510,25
7520,32
7530,21
7540,37
8000,37
8100,34
8110,57
8120,44
8130,50
8140,33
8150,16
8160,28
8170,39
8180,31
8200,31
8210,31
8300,39
8310,66
8320,25
8330,40
8340,39
8350,52
9000,19
9100,11
9110,11
9120,16
9200,16
9210,16
9300,26
9310,34
9320,21
9330,32
9400,14
9410,14
9500,18
9510,18
9520,18
9600,27
9610,26
9620,25
