ISCO08(3-digit),ESEC-employee,ESEC-supervisor,ESEC-selfemp(0),ESEC-selfemp(1-9),ESEC-selfemp(10+)
0110,1,1,1,1,1
0210,3,2,3,3,3
0310,3,2,3,3,3
1000,1,1,4,4,1
1100,1,1,1,1,1
1110,1,1,1,1,1
1120,1,1,1,1,1
1200,1,1,4,4,1
1210,1,1,4,4,1
1220,1,1,4,4,1
1300,1,1,4,4,1
1310,2,2,5,5,1
1320,2,2,4,4,1
1330,1,1,4,4,1
1340,1,1,4,4,1
1400,2,2,4,4,1
1410,2,2,4,4,1
1420,2,2,4,4,1
1430,2,2,4,4,1
2000,1,1,1,1,1
2100,1,1,1,1,1
2110,1,1,1,1,1
2120,1,1,1,1,1
2130,1,1,1,1,1
2140,1,1,1,1,1
2150,1,1,1,1,1
2160,1,1,1,1,1
2200,1,1,1,1,1
2210,1,1,1,1,1
2220,2,2,2,2,1
2230,2,2,2,2,1
2240,6,6,4,4,1
2250,1,1,1,1,1
2260,1,1,1,1,1
2300,1,1,1,1,1
2310,1,1,1,1,1
2320,1,1,1,1,1
2330,2,2,2,2,1
2340,2,2,2,2,1
2350,1,1,1,1,1
2400,1,1,1,1,1
2410,1,1,1,1,1
2420,2,2,2,2,1
2430,1,1,1,1,1
2500,1,1,1,1,1
2510,1,1,1,1,1
2520,2,2,2,2,1
2600,2,2,2,2,1
2610,1,1,1,1,1
2620,2,2,2,2,1
2630,1,1,1,1,1
2640,2,2,2,2,1
2650,2,2,2,2,1
3000,3,2,4,4,1
3100,2,2,2,2,1
3110,2,2,2,2,1
3120,2,2,2,2,1
3130,6,2,4,4,1
3140,2,2,2,2,1
3150,2,2,2,2,1
3200,6,6,4,4,1
3210,2,2,2,2,1
3220,2,2,2,2,1
3230,2,2,2,2,1
3240,3,6,4,4,1
3250,3,2,4,4,1
3300,1,1,1,1,1
3310,1,1,1,1,1
3320,1,1,1,1,1
3330,2,2,2,2,1
3340,3,2,4,4,1
3350,2,2,2,2,2
3400,3,2,4,4,1
3410,3,2,2,2,1
3420,3,2,4,4,1
3430,3,2,4,4,1
3500,3,2,4,4,1
3510,3,2,4,4,1
3520,3,2,4,4,1
4000,3,2,4,4,1
4100,3,2,4,4,1
4110,3,2,4,4,1
4120,3,2,4,4,1
4130,3,2,4,4,1
4200,7,6,4,4,1
4210,7,6,4,4,1
4220,7,6,4,4,1
4300,3,2,4,4,1
4310,3,2,4,4,1
4320,7,2,4,4,1
4400,3,6,4,4,1
4410,3,6,4,4,1
5000,7,6,4,4,1
5100,7,6,4,4,1
5110,7,6,4,4,1
5120,7,6,4,4,1
5130,7,6,4,4,1
5140,7,6,4,4,1
5150,7,6,4,4,1
5160,7,6,4,4,1
5200,7,6,4,4,1
5210,9,7,4,4,1
5220,7,6,4,4,1
5230,7,6,4,4,1
5240,7,6,4,4,1
5300,7,6,4,4,1
5310,7,6,4,4,1
5320,7,6,4,4,1
5400,7,6,3,3,3
5410,7,6,3,3,3
6000,8,6,5,5,1
6100,8,6,5,5,1
6110,8,6,5,5,1
6120,8,6,5,5,1
6130,8,6,5,5,1
6200,8,6,5,5,1
6210,8,6,5,5,1
6220,8,6,5,5,1
6300,5,5,5,5,5
6310,5,5,5,5,5
6320,5,5,5,5,5
6330,5,5,5,5,5
6340,5,5,5,5,5
7000,8,6,4,4,1
7100,8,6,4,4,1
7110,8,6,4,4,1
7120,8,6,4,4,1
7130,8,6,4,4,1
7200,8,6,4,4,1
7210,8,6,4,4,1
7220,8,6,4,4,1
7230,8,6,4,4,1
7300,8,6,4,4,1
7310,8,6,4,4,1
7320,8,6,4,4,1
7400,8,6,4,4,1
7410,8,6,4,4,1
7420,6,6,4,4,1
7500,8,6,4,4,1
7510,8,6,4,4,1
7520,8,6,4,4,1
7530,8,6,4,4,1
7540,8,6,4,4,1
8000,9,6,4,4,1
8100,9,6,4,4,1
8110,9,6,4,4,1
8120,9,6,4,4,1
8130,9,6,4,4,1
8140,9,6,4,4,1
8150,9,6,4,4,1
8160,9,6,4,4,1
8170,9,6,4,4,1
8180,9,6,4,4,1
8200,9,6,4,4,1
8210,9,6,4,4,1
8300,8,6,4,4,1
8310,8,6,4,4,1
8320,9,6,4,4,1
8330,8,6,4,4,1
8340,9,6,4,4,1
8350,8,6,4,4,1
9000,9,6,4,4,1
9100,9,6,4,4,1
9110,9,6,4,4,1
9120,9,6,4,4,1
9200,9,6,5,5,1
9210,9,6,5,5,1
9300,9,6,5,5,1
9310,9,6,4,4,1
9320,9,6,4,4,1
9330,9,6,4,4,1
9400,9,6,4,4,1
9410,9,6,4,4,1
9500,9,6,4,4,1
9510,9,6,4,4,1
9520,9,6,4,4,1
