ISCO08,ESEC-MP
0000,Armed Forces
1000,Armed Forces
1100,Armed Forces
2100,Armed Forces
3000,Armed Forces
3100,Armed Forces
1000,Production and specialized services managers NEC
1100,Legislators and senior officials
1110,Legislators and senior officials
1111,Legislators and senior officials
1112,Legislators and senior officials
1113,Legislators and senior officials
1114,Legislators and senior officials
1120,Managing directors and chief executives
1200,Administrative and commercial managers
1210,Administrative and commercial managers
1211,Administrative and commercial managers
1212,Administrative and commercial managers
1213,Administrative and commercial managers
1219,Administrative and commercial managers
1220,Administrative and commercial managers
1221,Administrative and commercial managers
1222,Administrative and commercial managers
1223,Administrative and commercial managers
1300,Production and specialized services managers NEC
1310,"Production managers in agriculture, forestry and fisheries"
1311,"Production managers in agriculture, forestry and fisheries"
1312,"Production managers in agriculture, forestry and fisheries"
1320,"Manufacturing, mining, construction and distribution managers"
1321,"Manufacturing, mining, construction and distribution managers"
1322,"Manufacturing, mining, construction and distribution managers"
1323,"Manufacturing, mining, construction and distribution managers"
1324,"Manufacturing, mining, construction and distribution managers"
1330,Production and specialized services managers NEC
1340,welfare managers
1341,welfare managers
1342,welfare managers
1343,welfare managers
1344,welfare managers
1345,welfare managers
1346,Administrative and commercial managers
1349,Production and specialized services managers NEC
1400,"Hospitality, retail and other services managers"
1410,"Hospitality, retail and other services managers"
1411,"Hospitality, retail and other services managers"
1412,"Hospitality, retail and other services managers"
1420,"Hospitality, retail and other services managers"
1430,"Hospitality, retail and other services managers"
1431,"Hospitality, retail and other services managers"
1439,"Hospitality, retail and other services managers"
2000,Other professionals NEC
2100,"Natural Science, Mathematicians and Statistics professionals"
2110,"Natural Science, Mathematicians and Statistics professionals"
2111,"Natural Science, Mathematicians and Statistics professionals"
2112,"Natural Science, Mathematicians and Statistics professionals"
2113,"Natural Science, Mathematicians and Statistics professionals"
2114,"Natural Science, Mathematicians and Statistics professionals"
2120,"Natural Science, Mathematicians and Statistics professionals"
2130,"Natural Science, Mathematicians and Statistics professionals"
2131,"Natural Science, Mathematicians and Statistics professionals"
2132,"Natural Science, Mathematicians and Statistics professionals"
2133,"Natural Science, Mathematicians and Statistics professionals"
2140,Engineering and Electrotechnology Professionals
2141,Engineering and Electrotechnology Professionals
2142,Engineering and Electrotechnology Professionals
2143,Engineering and Electrotechnology Professionals
2144,Engineering and Electrotechnology Professionals
2145,Engineering and Electrotechnology Professionals
2146,Engineering and Electrotechnology Professionals
2149,Engineering and Electrotechnology Professionals
2150,Engineering and Electrotechnology Professionals
2151,Engineering and Electrotechnology Professionals
2152,Engineering and Electrotechnology Professionals
2153,Engineering and Electrotechnology Professionals
2160,"Architects, planners, surveyors and designers"
2161,"Architects, planners, surveyors and designers"
2162,"Architects, planners, surveyors and designers"
2163,Creative and performing professionals
2164,"Architects, planners, surveyors and designers"
2165,"Architects, planners, surveyors and designers"
2166,Information and communications technology professionals
2200,Health professionals
2210,Health professionals
2211,Health professionals
2212,Health professionals
2220,Nursing and midwifery professionals
2221,Nursing and midwifery professionals
2222,Nursing and midwifery professionals
2230,Other health professionals
2240,Health professionals
2250,Health professionals
2260,Other health professionals
2261,Health professionals
2262,Health professionals
2263,Other health professionals
2264,Other health professionals
2265,Other health professionals
2266,Other health professionals
2267,Other health professionals
2269,Other health professionals
2300,Education Teachers NEC
2310,University and higher education teachers
2320,Education Teachers NEC
2330,Secondary education teachers
2340,Primary school and early childhood teachers
2341,Primary school and early childhood teachers
2342,Primary school and early childhood teachers
2350,Education Teachers NEC
2351,Education Teachers NEC
2352,Education Teachers NEC
2353,Education Teachers NEC
2354,Education Teachers NEC
2355,Education Teachers NEC
2356,Education Teachers NEC
2359,Education Teachers NEC
2400,Other professionals NEC
2410,Finance professionals
2411,Finance professionals
2412,Finance professionals
2413,Finance professionals
2420,"Administration, Sales, marketing and public relations professionals"
2421,"Administration, Sales, marketing and public relations professionals"
2422,"Administration, Sales, marketing and public relations professionals"
2423,"Administration, Sales, marketing and public relations professionals"
2424,"Administration, Sales, marketing and public relations professionals"
2430,"Administration, Sales, marketing and public relations professionals"
2431,"Administration, Sales, marketing and public relations professionals"
2432,"Administration, Sales, marketing and public relations professionals"
2433,"Administration, Sales, marketing and public relations professionals"
2434,"Administration, Sales, marketing and public relations professionals"
2500,Information and communications technology professionals
2510,Information and communications technology professionals
2511,Information and communications technology professionals
2512,Information and communications technology professionals
2513,Information and communications technology professionals
2514,Information and communications technology professionals
2519,Information and communications technology professionals
2520,Information and communications technology professionals
2521,Information and communications technology professionals
2522,Information and communications technology professionals
2523,Information and communications technology professionals
2529,Information and communications technology professionals
2600,Other professionals NEC
2610,Legal professionals
2611,Legal professionals
2612,Legal professionals
2619,Legal professionals
2620,Other professionals NEC
2621,Other professionals NEC
2622,Other professionals NEC
2630,Social Science Professionals
2631,Social Science Professionals
2632,Social Science Professionals
2633,Social Science Professionals
2634,Social Science Professionals
2635,Social Science Professionals
2636,Other professionals NEC
2640,Creative and performing professionals
2641,Creative and performing professionals
2642,Creative and performing professionals
2643,Creative and performing professionals
2650,Creative and performing professionals
2651,Creative and performing professionals
2652,Creative and performing professionals
2653,Creative and performing professionals
2654,Creative and performing professionals
2655,Creative and performing professionals
2656,Creative and performing professionals
2659,Creative and performing professionals
3000,Technicians and Engineering associate NEC
3100,Technicians and Engineering associate NEC
3110,Physical and engineering science technicians
3111,Physical and engineering science technicians
3112,Physical and engineering science technicians
3113,Physical and engineering science technicians
