"ISCO08","selfemp10.","selfemp1.9","selfemp0","sup","emp"
"0100",10,10,10,10,10
"0110",10,10,10,10,10
"0200",52,52,52,52,52
"0210",52,52,52,30,52
"0300",52,52,52,52,52
"0310",52,52,52,30,52
"1000",NA,61,NA,NA,NA
"1100",11,11,11,10,10
"1110",11,11,11,10,10
"1120",11,11,11,10,10
"1200",11,61,61,10,10
"1210",11,61,61,10,10
"1220",11,61,61,10,10
"1300",11,61,61,10,10
"1310",11,70,70,30,30
"1320",11,61,61,30,30
"1330",11,61,61,10,10
"1340",11,61,61,10,10
"1400",11,61,61,30,30
"1410",11,61,61,30,30
"1420",11,61,61,30,30
"1430",11,61,61,30,30
"2000",11,11,NA,NA,NA
"2100",11,11,22,10,22
"2110",11,11,22,10,22
"2120",11,11,22,10,22
"2130",11,11,22,10,22
"2140",11,11,22,10,22
"2150",11,11,22,10,22
"2160",11,11,22,10,22
"2200",11,11,21,10,21
"2210",11,11,21,10,21
"2220",11,30,41,30,41
"2230",11,30,41,30,41
"2240",11,61,61,81,81
"2250",11,11,21,10,21
"2260",11,11,21,10,21
"2300",11,11,23,10,23
"2310",11,11,23,10,23
"2320",11,11,23,10,23
"2330",11,30,44,30,44
"2340",11,30,44,30,44
"2350",11,11,23,10,23
"2400",11,11,20,10,20
"2410",11,11,20,10,20
"2420",11,30,40,30,40
"2430",11,11,20,10,20
"2500",11,11,22,10,22
"2510",11,11,22,10,22
"2520",11,30,43,30,43
"2600",11,30,42,30,42
"2610",11,11,20,10,20
"2620",11,30,42,30,42
"2630",11,11,23,10,23
"2640",11,30,42,30,42
"2650",11,30,42,30,42
"3000",11,61,NA,NA,NA
"3100",11,30,43,30,43
"3110",11,30,43,30,43
"3120",11,30,43,30,43
"3130",11,61,61,30,80
"3140",11,30,43,30,43
"3150",11,30,43,30,43
"3200",11,61,61,81,81
"3210",11,30,41,30,41
"3220",11,30,41,30,41
"3230",11,30,41,30,41
"3240",11,61,61,81,51
"3250",11,61,61,30,51
"3300",11,11,20,10,20
"3310",11,11,20,10,20
"3320",11,11,20,10,20
"3330",11,30,40,30,40
"3340",11,61,61,30,50
"3350",30,30,40,30,40
"3400",11,61,61,30,51
"3410",11,30,42,30,51
"3420",11,61,61,30,51
"3430",11,61,61,30,51
"3500",11,61,61,30,50
"3510",11,61,61,30,50
"3520",11,61,61,30,50
"4000",11,61,61,30,50
"4100",11,61,61,30,50
"4110",11,61,61,30,50
"4120",11,61,61,30,50
"4130",11,61,61,30,50
"4200",11,61,61,82,93
"4210",11,61,61,82,93
"4220",11,61,61,82,92
"4300",11,61,61,30,50
"4310",11,61,61,30,50
"4320",11,61,61,30,93
"4400",11,61,61,82,50
"4410",11,61,61,82,50
"5000",11,62,60,81,92
"5100",11,62,60,81,92
"5110",11,62,60,81,92
"5120",11,62,60,81,92
"5130",11,62,60,81,92
"5140",11,62,60,81,92
"5150",11,62,60,81,92
"5160",11,62,60,81,91
"5200",11,62,60,81,93
"5210",11,62,60,93,111
"5220",11,62,60,81,93
"5230",11,62,60,82,93
"5240",11,62,60,81,93
"5300",11,62,60,81,91
"5310",11,62,60,81,91
"5320",11,62,60,81,91
"5400",52,52,52,81,92
"5410",52,52,52,81,92
"6000",11,70,70,80,100
"6100",11,70,70,80,100
"6110",11,70,70,80,100
"6120",11,70,70,80,100
"6130",11,70,70,80,100
"6200",11,70,70,80,100
"6210",11,70,70,80,100
"6220",11,70,70,80,103
"6300",70,70,70,70,70
"6310",70,70,70,70,70
"6320",70,70,70,70,70
"6330",70,70,70,70,70
"6340",70,70,70,70,70
"7000",11,62,60,80,102
"7100",11,62,60,80,102
"7110",11,62,60,80,102
"7120",11,62,60,80,102
"7130",11,62,60,80,102
"7200",11,62,60,80,102
"7210",11,62,60,80,102
"7220",11,62,60,80,102
"7230",11,62,60,80,102
"7300",11,62,60,80,102
"7310",11,62,60,80,102
"7320",11,62,60,80,102
"7400",11,62,60,80,102
"7410",11,62,60,80,102
"7420",11,62,60,80,80
"7500",11,62,60,80,102
"7510",11,62,60,80,102
"7520",11,62,60,80,102
"7530",11,62,60,80,102
"7540",11,62,60,80,102
"8000",11,62,60,80,NA
"8100",11,62,60,80,110
"8110",11,62,60,80,110
"8120",11,62,60,80,110
"8130",11,62,60,80,110
"8140",11,62,60,80,110
"8150",11,62,60,80,110
"8160",11,62,60,80,110
"8170",11,62,60,80,110
"8180",11,62,60,80,110
"8200",11,62,60,80,110
"8210",11,62,60,80,110
"8300",11,62,60,80,103
"8310",11,62,60,80,103
"8320",11,62,60,80,111
"8330",11,62,60,80,103
"8340",11,62,60,80,110
"8350",11,62,60,80,103
"9000",11,62,60,NA,NA
"9100",11,62,60,81,111
"9110",11,62,60,81,111
"9120",11,62,60,81,111
"9200",11,70,70,80,110
"9210",11,70,70,80,110
"9300",11,70,70,80,110
"9310",11,62,60,80,110
"9320",11,62,60,80,110
"9330",11,62,60,80,111
"9400",11,62,60,81,111
"9410",11,62,60,81,111
"9500",11,62,60,81,111
"9510",11,62,60,81,111
"9520",11,62,60,81,111
"9600",11,62,60,80,111
"9610",11,62,60,80,111
"9620",11,62,60,80,111
