ISCO68,ISCO68-label-E,major,minor,unit
0100,'PHYSIC SCIENTIST',0100,0100,0100
0110,'CHEMIST',0100,0110,0110
0120,'PHYSICIST',0100,0120,0120
0130,'PHYS SCIENTIST',0100,0130,0130
0131,'GEOLOGIST',0100,0130,0131
0132,'ASTRONOMIST',0100,0130,0132
0133,'WEATHERMAN',0100,0130,0133
0139,'SCIENTIST',0100,0130,0139
0140,'PHYS SCIENCE TECHN',0100,0140,0140
0200,"'ARCHTCTS,ENGINEERS'",0200,0200,0200
0210,'ARCHITECTS',0200,0210,0210
0220,'CIVIL ENGINEERS',0200,0220,0220
0230,'ELECTRICAL ENGINEERS',0200,0230,0230
0240,'MECHANICAL ENGINEERS',0200,0240,0240
0250,'CHEMICAL ENGINEERS',0200,0250,0250
0260,'METALLURGIST',0200,0260,0260
0270,'MINING ENGINEER',0200,0270,0270
0280,'INDUSTRIAL ENGINEER',0200,0280,0280
0290,'ENGINEER NEC',0200,0290,0290
0300,'ENGIN TECHNICIANS',0300,0300,0300
0310,'SURVEYOR',0300,0310,0310
0320,'DRAFTSMEN',0300,0320,0320
0321,'TRACER',0300,0320,0321
0329,'DRAFTSMAN',0300,0320,0329
0330,'CIVIL ENG TECHNICIAN',0300,0330,0330
0339,'SURVEYOR ASSISTENT',0300,0330,0339
0340,'ELECTR ENGIN TECHN',0300,0340,0340
0350,'MECH ENGIN TECHCN',0300,0350,0350
0360,'CHEM ENGIN TECHCN',0300,0360,0360
0370,'METALLURG TECHCN',0300,0370,0370
0380,'MINING TECHNICIAN',0300,0380,0380
0390,'ENGIN TECHNCN NEC',0300,0390,0390
0409,'AIRCR SHIP OFFICRS',0300,0390,0409
0400,'PILOTS-SHIP CAPTAINS',0400,0400,0400
0410,'PILOTS ARW',0400,0410,0410
0411,'ASTRONAUT',0400,0410,0411
0419,'AIRCRAFT PILOT',0400,0410,0419
0420,'SHIP OFFCR ARW',0400,0420,0420
0421,'SMALL BOAT OFFICER',0400,0420,0421
0429,'SHIPS OFFICER',0400,0420,0429
0430,'SHIPS ENGINEER',0400,0430,0430
0500,'LIFE SCIENTIST',0500,0500,0500
0510,'BIOLOGIST',0500,0510,0510
0520,'BACTERIOLOGISTS',0500,0520,0520
0521,'DAIRY SCIENTIST',0500,0520,0521
0529,'MEDICAL RESEARCHER',0500,0520,0529
0530,'AGRONOMISTS',0500,0530,0530
0531,'AGRICULTURAL AGENT',0500,0530,0531
0539,'AGRONOMIST',0500,0530,0539
0540,'LIFE SC TECHNICIANS',0500,0540,0540
0541,'AGRICULT TECHNCN',0500,0540,0541
0549,'MEDICAL TECHNICIAN',0500,0540,0549
0600,'MEDICAL ARW WRKRS',0600,0600,0600
0610,'MEDICAL DOCTOR',0600,0610,0610
0611,'CHF PHYSIC IN HOSPITAL',0600,0610,0611
0619,'PHYSICIAN',0600,0610,0619
0620,'MEDICAL ASSISTANT',0600,0620,0620
0630,'DENTIST',0600,0630,0630
0640,'DENTAL ASSISTANT',0600,0640,0640
0650,'VETERINARIAN',0600,0650,0650
0660,'VETERINARY ASSISTANT',0600,0660,0660
0670,'PHARMACIST',0600,0670,0670
0680,'PHARM ASSISTANT',0600,0680,0680
0690,'DIETITIAN',0600,0690,0690
0700,'LOWER MEDCL PROFS',0700,0700,0700
0710,'PROF NURSES ARW',0700,0710,0710
0711,'HEADNURSE',0700,0710,0711
0715,'OTHER LOWER MEDCL PROFS',0700,0710,0715
0719,'PROFESSIONAL NURSE',0700,0710,0719
0720,'UNCERTIFIED NURSE',0700,0720,0720
0730,'PROFES MIDWIFE',0700,0730,0730
0740,'MIDWIFE PERSNL NEC',0700,0740,0740
0750,'OPTOMETRIST',0700,0750,0750
0751,'OPTICIAN',0700,0750,0751
0759,'OPTOMETRIST',0700,0750,0759
0760,'PHYSIOTHERAPISTS',0700,0760,0760
0761,'OCCUPATIONL THERAPST',0700,0760,0761
0762,'MASSEUR',0700,0760,0762
0769,'PHYSIOTHERAPISTS',0700,0760,0769
0770,'MEDCL X-RAY TECHNCN',0700,0770,0770
0780,'LOWER MEDCL PROFS',0700,0780,0780
0790,'MEDICAL WORKER NEC',0700,0790,0790
0791,'CHIROPRACTOR',0700,0790,0791
0792,'HERBALIST',0700,0790,0792
0793,'SANITARY OFFICER',0700,0790,0793
0799,'OSTEOPATH',0700,0790,0799
0800,'MATHEMATICNS ARW',0800,0800,0800
0810,'STATISTICIAN',0800,0810,0810
0820,'MATHEMATICIAN',0800,0820,0820
0830,'SYSTEM ANALYST',0800,0830,0830
0840,'STAT TECHNICN',0800,0840,0840
0849,'COMPUTER PROGRAMMER',0800,0840,0849
0900,'ECONOMIST',0900,0900,0900
1100,'ACCOUNTANT',1100,1100,1100
1101,'PROFESSNL ACCOUNTNT',1100,1100,1101
1109,'ACCOUNTANT',1100,1100,1109
1200,'JURIST',1200,1200,1200
1210,'LAWYERS',1200,1210,1210
1211,'PUBLIC PROSECUTOR',1200,1210,1211
1219,'TRIAL LAWYER',1200,1210,1219
1220,'JUDGES',1200,1220,1220
1221,'SUPREME COURT JUSTICE',1200,1220,1221
1222,'LOCAL COURT JUSTICE',1200,1220,1222
1229,'JUDGE',1200,1220,1229
1290,'JURIST NEC',1200,1290,1290
1291,'LEGL ADVISR WOUT DEGREE',1200,1290,1291
1299,'NON-TRIAL LAWYER',1200,1290,1299
1300,'TEACHER',1300,1300,1300
1304,'SECOND SCHOOL PRINCIPAL',1300,1300,1304
1310,'UNIVERS TEACHER',1300,1310,1310
1311,"'UNIVERS PROFESSOR,DEAN'",1300,1310,1311
1319,'UNIVERSITY TEACHER',1300,1310,1319
1320,'SECONDARY SCHOOL TEACHER',1300,1320,1320
1321,'MIDDLE SCHOOL TEACHER',1300,1320,1321
1329,'HIGH SCHOOL TEACHER',1300,1320,1329
1330,'PRIMARY TEACHER',1300,1330,1330
1340,'PREPRIMARY TEACHER',1300,1340,1340
1350,'SPEC EDUCYR TEACHER',1300,1350,1350
1390,'TEACHERS NEC',1300,1390,1390
1391,'PRIMARY PRINCIPAL',1300,1390,1391
1392,'EDUCYRATION OFFICER',1300,1390,1392
1393,'TEACHERS AIDE',1300,1390,1393
1394,'SEC SCHOOL PRINCIPAL',1300,1390,1394
1399,'VOCATIONAL TEACHER',1300,1390,1399
1400,'RELIGIOUS WRKRS',1400,1400,1400
1410,'RELI MINISTER ARW',1400,1410,1410
1411,'HIGH CHURCH OFFICER',1400,1410,1411
1412,'RELIGIOUS RECITER',1400,1410,1412
1413,'EVANGELIST',1400,1410,1413
1414,'MISSIONARY',1400,1410,1414
1415,'MEMB OF RELIGS ORDER',1400,1410,1415
1416,'ASSISTANT PRIEST',1400,1410,1416
1419,'CLERGYMAN',1400,1410,1419
1490,'RELI WORKERS',1400,1490,1490
1491,'FAITH HEALER',1400,1490,1491
1499,'RELIGIOUS TEACHER',1400,1490,1499
1500,'AUTHORS ARW',1500,1500,1500
1510,'AUTHORS',1500,1510,1510
1511,'PULPWRITER',1500,1510,1511
1519,'AUTHOR',1500,1510,1519
1590,'AUTHORS ARW',1500,1590,1590
1591,'NEWSPAPER EDITOR',1500,1590,1591
1592,'ADVERTISING WRITER',1500,1590,1592
1593,'PUBLIC RELATIONS MAN',1500,1590,1593
1599,'JOURNALIST',1500,1590,1599
1600,'CREATIVE ARTISTS',1600,1600,1600
1610,'ARTIST',1600,1610,1610
1620,'COMMERC ARTIST ARW',1600,1620,1620
1621,'DESIGNER',1600,1620,1621
1622,'WINDOW DISPLAY ARTST',1600,1620,1622
1629,'COMMERCIAL ARTIST',1600,1620,1629
1630,'PHOTOGRAPHER ARW',1600,1630,1630
1631,'TV CAMERAMAN',1600,1630,1631
1639,'PHOTOGRAPHER',1600,1630,1639
1700,'PERFORMING ARTISTS',1700,1700,1700
1710,'MUSICIANS ARW',1700,1710,1710
1711,'JAZZ MUSICIAN',1700,1710,1711
1712,'MUSICAL ENTERTAINER',1700,1710,1712
1713,'MUSIC TEACHER',1700,1710,1713
1719,'CLASSICAL MUSICIAN',1700,1710,1719
1720,'DANCERS ARW',1700,1720,1720
1721,'DANCING TEACHER',1700,1720,1721
1729,'DANCER',1700,1720,1729
1730,'ACTORS ARW',1700,1730,1730
1731,'STAR ACTOR',1700,1730,1731
1732,'DRAMATIC DIRECTOR',1700,1730,1732
1739,'ACTOR',1700,1730,1739
1740,'PRODUCER PERF ARTS',1700,1740,1740
1749,'DRAMATIC PRODUCER',1700,1740,1749
1750,'CIRCUS PERFORMER',1700,1750,1750
1790,'PERFORM ARTIST NEC',1700,1790,1790
1791,'ENTERTAINER',1700,1790,1791
1799,'RADIO TV ANNOUNCER',1700,1790,1799
1800,'SPORTSMEN ARW',1800,1800,1800
1801,'COACH-MANAGER',1800,1800,1801
1809,'PROFESSIONAL ATHLETES',1800,1800,1809
1900,'PROF WRKRS NEC',1900,1900,1900
1910,'LIBRARIAN',1900,1910,1910
1920,'SOCIOLOGIST ARW',1900,1920,1920
1921,'PSYCHOLOGIST',1900,1920,1921
1922,'ARCHEOLOGIST',1900,1920,1922
1923,'HISTORIAN',1900,1920,1923
1924,'SOCIAL SCIENTIST NEC',1900,1920,1924
1929,'SOCIOLOGIST',1900,1920,1929
1930,'SOCIAL WORKER ARW',1900,1930,1930
1931,'GROUP WRKR',1900,1930,1931
1939,'SOCIAL WRKR',1900,1930,1939
1940,'OCCUP SPECIALIST ARW',1900,1940,1940
1941,'JOB COUNSELOR',1900,1940,1941
1949,'PERSONNEL DIRECTOR',1900,1940,1949
1950,'PHILOLOGISTS',1900,1950,1950
1951,"'PHILOLSTS,TRANSLATORS'",1900,1950,1951
1959,'TRANSLATOR',1900,1950,1959
1960,'GENERIC PROFESSIONAL',1900,1960,1960
1990,'OTHER PROF WRKR',1900,1990,1990
1991,'DIVINER',1900,1990,1991
1992,'FINGERPRINT EXPERT',1900,1990,1992
1993,'EXPLORER',1900,1990,1993
1994,'PEACE CORPS MEMBER',1900,1990,1994
1995,'ADVERTISING EXECUTIVE',1900,1990,1995
1999,'TECHNICIAN',1900,1990,1999
2000,'GOVERNMNT ADMINISTRTORS',2000,2000,2000
2010,'GOV JURISDIC HEADS',2000,2010,2010
2011,'PROVINCIAL GOVERNOR',2000,2010,2011
2012,'DISTRICT HEAD',2000,2010,2012
2013,'HEAD LARGE CITY',2000,2010,2013
2014,'HEAD SMALL CITY',2000,2010,2014
2015,'VILLAGE HEAD',2000,2010,2015
2019,'CHIEF OF STATE',2000,2010,2019
2020,'LEGISLTV BODY MEMBER',2000,2020,2020
2021,'MEMBER UPPER HOUSE',2000,2020,2021
2022,'MEMBER LOWER HOUSE',2000,2020,2022
2023,'MEMBER PROVINCIAL HOUSE',2000,2020,2023
2024,'MEMBER LOCAL COUNCIL',2000,2020,2024
2029,'LEADER OF HOUSE',2000,2020,2029
2030,'HIGHER ADMINISTRATIVE OFF',2000,2030,2030
2031,'AMBASSADOR',2000,2030,2031
2032,'DIPLOMAT',2000,2030,2032
2033,'HIGH CIVIL SERVANT DEPT HEAD',2000,2030,2033
2034,'DEPT HEAD LOCAL GOVERNMENT',2000,2030,2034
2035,'DEPHEAD LOC GOVRNMT',2000,2030,2035
2036,'CHIEFS COUNSELOR',2000,2030,2036
2039,'GOVERNMENT MINISTER',2000,2030,2039
2100,'MANAGERS',2100,2100,2100
2110,'GENERAL MANAGER',2100,2110,2110
2111,'HEAD OF LARGE FIRM',2100,2110,2111
2112,'HEAD OF FIRM',2100,2110,2112
2113,'HEAD OF SMALL FIRM',2100,2110,2113
2114,'BANKER',2100,2110,2114
2115,'BANKER LARGE BANK',2100,2110,2115
2116,'BUILDING CONTRACTOR',2100,2110,2116
2119,'MEMBER BOARD OF DIRECTORS',2100,2110,2119
2120,'FACTORY MANAGER',2100,2120,2120
2190,'MANAGERS NEC',2100,2190,2190
2191,'BRANCH MANAGER',2100,2190,2191
2192,'DEPARTMENT MANAGER',2100,2190,2192
2193,'DEP MANAGER LARGE FRM',2100,2190,2193
2194,'BUSINESS EXECUTIVE',2100,2190,2194
2195,'POLITICN-PARTY OFFICL',2100,2190,2195
2196,'UNION OFFICIAL',2100,2190,2196
2197,'HIGH UNION OFFICIAL',2100,2190,2197
3000,'CLERICAL WORKERS',3000,3000,3000
2199,'BUSINESS MANAGER',3000,3000,2199
3009,'OFFICE MANAGER',3000,3000,3009
3100,'GOV EXEC OFFICL',3100,3100,3100
3101,'MINOR CIVIL SERVANT',3100,3100,3101
3102,'GOVERNMENT INSPECTOR',3100,3100,3102
3103,'COSTUMS INSPECTOR',3100,3100,3103
3104,'TAX COLLECTOR',3100,3100,3104
3109,'MIDDL RANGE CVL SRVNT',3100,3100,3109
3200,'TYPIST ARW',3200,3200,3200
3210,'SECRETARIES ARW',3200,3210,3210
3211,'SECRETARY',3200,3210,3211
3219,'TYPIST-STENOGRAPHER',3200,3210,3219
3220,'KEYPUNCH OPRTR',3200,3220,3220
3300,'BOOKKEEPER ARW',3300,3300,3300
3310,'BOOKKEEPERS ARW',3300,3310,3310
3311,'CASHIER',3300,3310,3311
3312,'HEAD CASHIER',3300,3310,3312
3313,'BANK TELLER',3300,3310,3313
3314,'POST OFFICE CLERK',3300,3310,3314
3315,'TICKET SELLER',3300,3310,3315
3319,'BOOKKEEPER',3300,3310,3319
3390,'BOOKKEEPERS ARW',3300,3390,3390
3391,'BILL COLLECTOR',3300,3390,3391
3399,'FINANCIAL CLERK',3300,3390,3399
3400,'COMP MACH OPRTR',3400,3400,3400
