ISCO88(3-digit),ESEC-employee,ESEC-supervisor,ESEC-selfemp(0),ESEC-selfemp(1-9),ESEC-selfemp(10+),ESEC-simplified
010,1,1,1,1,1,1
011,3,2,3,3,3,3
100,1,1,4,4,1,1
110,1,1,1,1,1,1
111,1,1,1,1,1,1
114,1,1,1,1,1,1
120,1,1,4,4,1,1
121,1,1,4,4,1,1
122,2,2,4,4,1,2
123,1,1,4,4,1,1
130,2,2,4,4,1,4
131,2,2,4,4,1,4
200,1,1,1,1,1,1
210,1,1,1,1,1,1
211,1,1,1,1,1,1
212,1,1,1,1,1,1
213,1,1,1,1,1,1
214,1,1,1,1,1,1
220,1,1,1,1,1,1
221,1,1,1,1,1,1
222,1,1,1,1,1,1
223,2,2,2,2,1,2
230,2,2,2,2,1,2
231,1,1,1,1,1,1
232,2,2,2,2,1,2
233,2,2,2,2,1,2
234,2,2,2,2,1,2
235,1,1,1,1,1,1
240,1,1,1,1,1,1
241,1,1,1,1,1,1
242,1,1,1,1,1,1
243,2,2,2,2,1,2
244,2,2,2,2,1,2
245,2,2,2,2,1,2
246,2,2,2,2,1,2
247,2,2,2,2,1,2
300,3,2,4,4,1,3
310,2,2,2,2,1,2
311,2,2,2,2,1,2
312,2,2,2,2,1,2
313,6,2,4,4,1,6
314,2,2,2,2,1,2
315,6,6,4,4,1,6
320,2,2,2,2,1,2
321,2,2,2,2,1,2
322,2,2,2,2,1,2
323,2,2,2,2,1,2
330,3,2,4,4,1,3
331,3,2,4,4,1,3
332,3,2,4,4,1,3
333,3,2,4,4,1,3
334,2,2,2,2,1,2
340,3,2,4,4,1,3
341,3,2,4,4,1,3
342,2,2,2,2,1,2
343,3,2,4,4,1,3
344,2,2,2,2,2,2
345,2,2,2,2,2,2
346,3,2,4,4,1,3
347,3,2,4,4,1,3
348,2,2,2,2,1,2
400,3,2,4,4,1,3
410,3,2,4,4,1,3
411,3,2,4,4,1,3
412,3,2,4,4,1,3
413,7,6,4,4,1,7
414,9,6,4,4,1,9
419,3,2,4,4,1,3
420,3,2,4,4,1,3
421,7,6,4,4,1,7
422,7,6,4,4,1,7
500,7,6,4,4,1,7
510,7,6,4,4,1,7
511,7,6,4,4,1,7
512,9,6,4,4,1,9
513,7,6,4,4,1,7
514,7,6,4,4,1,7
516,7,6,3,3,3,7
520,7,6,4,4,1,7
521,2,2,4,4,1,2
522,7,6,4,4,1,7
600,8,6,5,5,1,5
610,8,6,5,5,1,5
611,8,6,5,5,1,5
612,8,6,5,5,1,5
613,8,6,5,5,1,5
614,8,6,5,5,1,8
615,8,6,5,5,1,8
621,5,5,5,5,5,5
700,8,6,4,4,1,8
710,8,6,4,4,1,8
711,8,6,4,4,1,8
712,8,6,4,4,1,8
713,8,6,4,4,1,8
714,8,6,4,4,1,8
720,8,6,4,4,1,8
721,8,6,4,4,1,8
722,8,6,4,4,1,8
723,8,6,4,4,1,8
724,8,6,4,4,1,8
730,6,6,4,4,1,6
731,6,6,4,4,1,6
732,8,6,4,4,1,8
733,8,6,4,4,1,8
734,8,6,4,4,1,8
740,8,6,4,4,1,8
741,8,6,4,4,1,8
742,8,6,4,4,1,8
743,8,6,4,4,1,8
744,8,6,4,4,1,8
800,9,6,4,4,1,9
810,9,6,4,4,1,9
811,9,6,4,4,1,9
812,9,6,4,4,1,9
813,9,6,4,4,1,9
814,9,6,4,4,1,9
815,9,6,4,4,1,9
816,9,6,4,4,1,9
817,9,6,4,4,1,9
820,9,6,4,4,1,9
821,9,6,4,4,1,9
822,9,6,4,4,1,9
823,9,6,4,4,1,9
824,9,6,4,4,1,9
825,8,6,4,4,1,8
826,9,6,4,4,1,9
827,9,6,4,4,1,9
828,9,6,4,4,1,9
829,9,6,4,4,1,9
830,9,6,4,4,1,9
831,8,6,4,4,1,8
832,9,6,4,4,1,9
833,9,6,4,4,1,9
834,8,6,4,4,1,8
900,9,6,4,4,1,9
910,9,6,4,4,1,9
911,7,6,4,4,1,4
912,9,6,4,4,1,9
913,9,6,4,4,1,9
914,9,6,4,4,1,9
915,9,6,4,4,1,9
916,9,6,4,4,1,9
920,9,6,5,5,1,9
921,9,6,5,5,1,9
930,9,6,4,4,1,9
931,9,6,4,4,1,9
932,9,6,4,4,1,9
933,9,6,4,4,1,9
