ISCO88,ORDC
0100,8
0110,8
1000,13
1100,2
1110,2
1120,2
1130,2
1140,2
1141,2
1142,2
1143,2
1200,6
1210,3
1220,6
1221,6
1222,6
1223,6
1224,6
1225,6
1226,6
1227,5
1228,5
1229,5
1230,5
1231,3
1232,6
1233,6
1234,6
1235,6
1236,6
1237,1
1239,6
1300,6
1310,6
1311,6
1312,6
1313,6
1314,6
1315,6
1316,6
1317,6
1318,6
1319,6
2000,5
2100,5
2110,5
2111,5
2112,5
2113,5
2114,5
2120,5
2121,5
2122,5
2130,5
2131,5
2132,5
2139,5
2140,2
2141,1
2142,2
2143,2
2144,2
2145,2
2146,2
2147,2
2148,5
2149,2
2200,5
2210,5
2211,5
2212,5
2213,5
2220,2
2221,2
2222,2
2223,2
2224,2
2229,5
2230,5
2300,4
2310,1
2320,4
2330,7
2331,7
2332,7
2340,4
2350,4
2351,1
2352,4
2359,4
2400,13
2410,6
2411,6
2412,6
2419,6
2420,2
2421,2
2422,2
2429,2
2430,4
2431,4
2432,4
2440,1
2441,6
2442,1
2443,1
2444,1
2445,2
2446,5
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2460,4
2470,5
3000,5
3100,5
3110,5
3111,5
3112,5
3113,5
3114,5
3115,8
3116,5
3117,5
3118,5
3119,5
3120,8
3121,8
3122,8
3123,8
3130,8
3131,7
3132,5
3133,5
3139,8
3140,5
3141,5
3142,5
3143,5
3144,5
3145,5
3150,5
3151,5
3152,5
3200,5
3210,5
3211,5
3212,5
3213,5
3220,5
3221,5
3222,5
3223,5
3224,5
3225,8
3226,5
3227,8
3228,8
3229,5
3230,8
3231,8
3232,8
3240,5
3241,5
3242,8
3300,7
3310,7
3320,7
3330,7
3340,7
3400,13
3410,9
3411,9
3412,9
3413,9
3414,9
3415,9
3416,9
3417,9
3419,9
3420,9
3421,9
3422,9
3423,9
3429,9
3430,5
3431,5
3432,6
3433,10
3434,5
3439,5
3440,8
3441,8
3442,8
3443,8
3444,8
3449,8
3450,8
3460,8
3470,7
3471,7
3472,4
3473,7
3474,7
3475,5
3480,7
4000,8
4100,8
4110,8
4111,8
4112,8
4113,8
4114,8
4115,8
4120,8
4121,8
4122,8
4130,8
4131,11
4132,8
4133,8
4140,7
4141,7
4142,11
4143,8
4144,8
4190,8
4200,13
4210,11
4211,11
4212,8
4213,11
4214,8
4215,8
4220,8
4221,8
4222,8
4223,10
5000,13
5100,8
5110,8
5111,8
5112,11
5113,8
5120,8
5121,8
5122,10
5123,11
5130,10
5131,10
5132,10
5133,11
5139,11
5140,11
5141,10
5142,10
5143,8
5149,11
5150,11
5151,11
5152,11
5160,8
5161,8
5162,8
5163,8
5169,11
5200,11
5210,11
5220,11
5230,11
6000,12
6100,12
6110,12
6111,12
6112,12
6113,10
6114,12
6120,12
6121,12
6122,12
6123,12
6124,12
6129,12
6130,12
6140,12
6141,12
6142,10
6150,12
6151,12
6152,12
6153,12
6154,12
6200,12
6210,12
7000,10
7100,10
7110,10
7111,10
7112,10
7113,10
7120,10
7121,10
7122,10
7123,10
7124,10
7129,10
7130,10
7131,10
7132,10
7133,10
7134,10
7135,10
7136,10
7137,10
7139,10
7140,10
7141,10
7142,10
7143,10
7200,10
7210,10
7211,10
7212,10
7213,10
7214,10
7215,10
7216,10
7220,10
7221,10
7222,10
7223,10
7224,10
7230,10
7231,10
7232,10
7233,10
7240,10
7241,10
7242,10
7243,10
7244,10
7245,10
7300,10
7310,10
7311,10
7312,10
7313,10
7320,10
7321,10
7322,10
7323,10
7324,7
7330,7
7331,7
7332,7
7340,7
7341,10
7342,10
7343,7
7344,7
7345,10
7346,10
7400,10
7410,10
7411,10
7412,10
7413,10
7414,10
7415,10
7416,10
7420,10
7421,10
7422,10
7423,10
7424,10
7430,10
7431,10
7432,10
7433,10
7434,10
7435,10
7436,10
7437,10
7440,10
7441,10
7442,10
8000,11
8100,10
8110,10
8111,10
8112,10
8113,10
8120,10
8121,10
8122,10
8123,10
8124,10
8130,11
8131,11
8139,11
8140,11
8141,11
8142,11
8143,11
8150,10
8151,10
8152,10
8153,10
8154,10
8155,10
8159,10
8160,10
8161,10
8162,10
8163,10
8170,10
8171,10
8172,10
8200,11
8210,11
8211,10
8212,10
8220,10
8221,11
8222,11
8223,11
8224,11
8229,11
8230,11
8231,11
8232,11
8240,11
8250,10
8251,10
8252,10
8253,11
8260,11
8261,11
8262,11
8263,11
8264,11
8265,11
8266,11
8269,11
8270,11
8271,11
8272,11
8273,11
8274,11
8275,11
8276,11
8277,11
8278,11
8279,11
8280,11
8281,11
8282,11
8283,11
8284,11
8285,11
8286,11
8287,11
8290,11
8300,11
8310,10
8311,10
8312,11
8320,11
8321,11
8322,11
8323,11
8324,11
8330,11
8331,10
8332,11
8333,11
8334,11
8340,11
9000,11
9100,11
9110,11
9111,11
9112,11
9113,11
9120,11
9130,11
9131,11
9132,11
9133,11
9140,11
9141,11
9142,11
9150,11
9151,11
9152,11
9153,11
9160,11
9161,11
9162,11
9200,12
9210,12
9211,12
9212,12
9213,12
9300,11
9310,11
9311,11
9312,11
9313,11
9320,11
9321,11
9322,11
9330,11
9331,11
9332,11
9333,11
