ISCO88(3-digit),ESEC-employee,ESEC-supervisor,ESEC-selfemp(0),ESEC-selfemp(1-9),ESEC-selfemp(10+),ESEC
0100,1,1,1,1,1,1
0110,3,2,3,3,3,3
1000,1,1,4,4,1,1
1100,1,1,1,1,1,1
1110,1,1,1,1,1,1
1140,1,1,1,1,1,1
1200,1,1,4,4,1,1
1210,1,1,4,4,1,1
1220,2,2,4,4,1,2
1230,1,1,4,4,1,1
1300,2,2,4,4,1,4
1310,2,2,4,4,1,4
2000,1,1,1,1,1,1
2100,1,1,1,1,1,1
2110,1,1,1,1,1,1
2120,1,1,1,1,1,1
2130,1,1,1,1,1,1
2140,1,1,1,1,1,1
2200,1,1,1,1,1,1
2210,1,1,1,1,1,1
2220,1,1,1,1,1,1
2230,2,2,2,2,1,2
2300,2,2,2,2,1,2
2310,1,1,1,1,1,1
2320,2,2,2,2,1,2
2330,2,2,2,2,1,2
2340,2,2,2,2,1,2
2350,1,1,1,1,1,1
2400,1,1,1,1,1,1
2410,1,1,1,1,1,1
2420,1,1,1,1,1,1
2430,2,2,2,2,1,2
2440,2,2,2,2,1,2
2450,2,2,2,2,1,2
2460,2,2,2,2,1,2
2470,2,2,2,2,1,2
3000,3,2,4,4,1,3
3100,2,2,2,2,1,2
3110,2,2,2,2,1,2
3120,2,2,2,2,1,2
3130,6,2,4,4,1,6
3140,2,2,2,2,1,2
3150,6,6,4,4,1,6
3200,2,2,2,2,1,2
3210,2,2,2,2,1,2
3220,2,2,2,2,1,2
3230,2,2,2,2,1,2
3300,3,2,4,4,1,3
3310,3,2,4,4,1,3
3320,3,2,4,4,1,3
3330,3,2,4,4,1,3
3340,2,2,2,2,1,2
3400,3,2,4,4,1,3
3410,3,2,4,4,1,3
3420,2,2,2,2,1,2
3430,3,2,4,4,1,3
3440,2,2,2,2,2,2
3450,2,2,2,2,2,2
3460,3,2,4,4,1,3
3470,3,2,4,4,1,3
3480,2,2,2,2,1,2
4000,3,2,4,4,1,3
4100,3,2,4,4,1,3
4110,3,2,4,4,1,3
4120,3,2,4,4,1,3
4130,7,6,4,4,1,7
4140,9,6,4,4,1,9
4190,3,2,4,4,1,3
4200,3,2,4,4,1,3
4210,7,6,4,4,1,7
4220,7,6,4,4,1,7
5000,7,6,4,4,1,7
5100,7,6,4,4,1,7
5110,7,6,4,4,1,7
5120,9,6,4,4,1,9
5130,7,6,4,4,1,7
5140,7,6,4,4,1,7
5160,7,6,3,3,3,7
5200,7,6,4,4,1,7
5210,2,2,4,4,1,2
5220,7,6,4,4,1,7
6000,8,6,5,5,1,5
6100,8,6,5,5,1,5
6110,8,6,5,5,1,5
6120,8,6,5,5,1,5
6130,8,6,5,5,1,5
6140,8,6,5,5,1,8
6150,8,6,5,5,1,8
6210,5,5,5,5,5,5
7000,8,6,4,4,1,8
7100,8,6,4,4,1,8
7110,8,6,4,4,1,8
7120,8,6,4,4,1,8
7130,8,6,4,4,1,8
7140,8,6,4,4,1,8
7200,8,6,4,4,1,8
7210,8,6,4,4,1,8
7220,8,6,4,4,1,8
7230,8,6,4,4,1,8
7240,8,6,4,4,1,8
7300,6,6,4,4,1,6
7310,6,6,4,4,1,6
7320,8,6,4,4,1,8
7330,8,6,4,4,1,8
7340,8,6,4,4,1,8
7400,8,6,4,4,1,8
7410,8,6,4,4,1,8
7420,8,6,4,4,1,8
7430,8,6,4,4,1,8
7440,8,6,4,4,1,8
8000,9,6,4,4,1,9
8100,9,6,4,4,1,9
8110,9,6,4,4,1,9
8120,9,6,4,4,1,9
8130,9,6,4,4,1,9
8140,9,6,4,4,1,9
8150,9,6,4,4,1,9
8160,9,6,4,4,1,9
8170,9,6,4,4,1,9
8200,9,6,4,4,1,9
8210,9,6,4,4,1,9
8220,9,6,4,4,1,9
8230,9,6,4,4,1,9
8240,9,6,4,4,1,9
8250,8,6,4,4,1,8
8260,9,6,4,4,1,9
8270,9,6,4,4,1,9
8280,9,6,4,4,1,9
8290,9,6,4,4,1,9
8300,9,6,4,4,1,9
8310,8,6,4,4,1,8
8320,9,6,4,4,1,9
8330,9,6,4,4,1,9
8340,8,6,4,4,1,8
9000,9,6,4,4,1,9
9100,9,6,4,4,1,9
9110,7,6,4,4,1,4
9120,9,6,4,4,1,9
9130,9,6,4,4,1,9
9140,9,6,4,4,1,9
9150,9,6,4,4,1,9
9160,9,6,4,4,1,9
9200,9,6,5,5,1,9
9210,9,6,5,5,1,9
9300,9,6,4,4,1,9
9310,9,6,4,4,1,9
9320,9,6,4,4,1,9
9330,9,6,4,4,1,9
