"ISCO88COM","selfemp10.","selfemp1.9","selfemp0","sup","emp"
"0100",11,11,10,10,10
"1000",11,61,NA,10,NA
"1100",11,11,11,10,10
"1110",11,11,10,10,10
"1140",11,11,10,10,10
"1200",11,61,61,10,10
"1210",11,61,61,10,10
"1220",11,61,61,30,30
"1230",11,61,61,10,10
"1300",11,61,61,30,30
"1310",11,61,61,30,30
"2000",11,11,NA,10,NA
"2100",11,11,22,10,22
"2110",11,11,22,10,22
"2120",11,11,22,10,22
"2130",11,11,22,10,22
"2140",11,11,22,10,22
"2200",11,11,21,10,21
"2210",11,11,22,10,22
"2220",11,11,21,10,21
"2230",11,30,41,30,41
"2300",11,30,44,30,44
"2310",11,11,23,10,23
"2320",11,30,44,30,44
"2330",11,30,44,30,44
"2340",11,30,44,30,44
"2350",11,11,23,10,23
"2400",11,11,20,10,20
"2410",11,11,20,10,20
"2420",11,11,20,10,20
"2430",11,30,42,30,42
"2440",11,30,44,30,44
"2450",11,30,42,30,42
"2460",11,30,42,30,42
"2470",11,30,40,30,40
"3000",11,61,NA,NA,NA
"3100",11,30,NA,30,NA
"3110",11,30,43,30,43
"3120",11,30,43,30,43
"3130",11,61,61,30,80
"3140",11,30,43,30,43
"3150",11,61,61,82,82
"3200",11,30,41,30,41
"3210",11,30,43,30,43
"3220",11,30,41,30,41
"3230",11,30,41,30,41
"3300",11,61,61,30,51
"3310",11,61,61,30,51
"3320",11,61,61,30,51
"3330",11,61,61,30,51
"3340",11,30,42,30,42
"3400",11,61,61,30,51
"3410",11,61,61,30,50
"3420",11,30,40,30,40
"3430",11,61,61,30,50
"3440",30,30,40,30,40
"3450",30,30,40,30,40
"3460",11,61,61,30,51
"3470",11,61,61,30,51
"3480",11,30,42,30,42
"4000",11,61,61,30,50
"4100",11,61,61,30,50
"4110",11,61,61,30,50
"4120",11,61,61,30,50
"4130",11,61,61,80,93
"4140",11,61,61,82,111
"4190",11,61,61,30,50
"4200",11,61,61,30,50
"4210",11,61,61,82,93
"4220",11,61,61,82,92
"5000",11,62,60,81,92
"5100",11,62,60,81,92
"5110",11,62,60,81,92
"5120",11,62,60,81,111
"5130",11,62,60,81,91
"5140",11,62,60,81,93
"5160",52,52,52,81,92
"5200",11,62,60,81,93
"5210",11,62,60,30,42
"5220",11,62,60,82,93
"6000",11,70,70,80,100
"6100",11,70,70,80,100
"6110",11,70,70,80,100
"6120",11,70,70,80,100
"6130",11,70,70,80,100
"6140",11,70,70,80,100
"6150",11,70,70,80,103
"7000",11,62,60,80,102
"7100",11,62,60,80,102
"7110",11,62,60,80,102
"7120",11,62,60,80,102
"7130",11,62,60,80,102
"7140",11,62,60,80,102
"7200",11,62,60,80,102
"7210",11,62,60,80,102
"7220",11,62,60,80,102
"7230",11,62,60,80,102
"7240",11,62,60,80,102
"7300",11,62,60,80,80
"7310",11,62,60,80,80
"7320",11,62,60,80,102
"7330",11,62,60,80,102
"7340",11,62,60,80,102
"7400",11,62,60,80,102
"7410",11,62,60,80,102
"7420",11,62,60,80,102
"7430",11,62,60,80,102
"7440",11,62,60,80,102
"8000",11,62,60,80,NA
"8100",11,62,60,80,110
"8110",11,62,60,80,110
"8120",11,62,60,80,110
"8130",11,62,60,80,110
"8140",11,62,60,80,110
"8150",11,62,60,80,110
"8160",11,62,60,80,110
"8170",11,62,60,80,110
"8200",11,62,60,80,110
"8210",11,62,60,80,110
"8220",11,62,60,80,110
"8230",11,62,60,80,110
"8240",11,62,60,80,110
"8250",11,62,60,80,103
"8260",11,62,60,80,110
"8270",11,62,60,80,110
"8280",11,62,60,80,110
"8290",11,62,60,80,110
"8300",11,62,60,80,110
"8310",11,62,60,80,103
"8320",11,62,60,80,110
"8330",11,62,60,80,110
"8340",11,62,60,80,103
"9000",11,62,60,NA,NA
"9100",11,62,60,81,111
"9110",11,62,60,81,93
"9120",11,62,60,81,111
"9130",11,62,60,81,111
"9140",11,62,60,81,111
"9150",11,62,60,81,111
"9160",11,62,60,80,111
"9200",11,70,70,80,110
"9210",11,70,70,80,110
"9300",11,62,60,80,110
"9310",11,62,60,80,110
"9320",11,62,60,80,110
"9330",11,62,60,80,111
