ISCO88,major,submajor,minor,unit
0000,0000,0000,0000,0000
0001,0000,0000,0000,0001
0002,0000,0000,0000,0002
0003,0000,0000,0000,0003
0004,0000,0000,0000,0004
0005,0000,0000,0000,0005
0006,0000,0000,0000,0006
0007,0000,0000,0000,0007
0008,0000,0000,0000,0008
0009,0000,0000,0000,0009
0010,0000,0000,0010,0010
0011,0000,0000,0010,0011
0012,0000,0000,0010,0012
0013,0000,0000,0010,0013
0014,0000,0000,0010,0014
0015,0000,0000,0010,0015
0016,0000,0000,0010,0016
0017,0000,0000,0010,0017
0018,0000,0000,0010,0018
0019,0000,0000,0010,0019
0020,0000,0000,0020,0020
0021,0000,0000,0020,0021
0022,0000,0000,0020,0022
0023,0000,0000,0020,0023
0024,0000,0000,0020,0024
0025,0000,0000,0020,0025
0026,0000,0000,0020,0026
0027,0000,0000,0020,0027
0028,0000,0000,0020,0028
0029,0000,0000,0020,0029
0030,0000,0000,0030,0030
0031,0000,0000,0030,0031
0032,0000,0000,0030,0032
0033,0000,0000,0030,0033
0034,0000,0000,0030,0034
0035,0000,0000,0030,0035
0036,0000,0000,0030,0036
0037,0000,0000,0030,0037
0038,0000,0000,0030,0038
0039,0000,0000,0030,0039
0040,0000,0000,0040,0040
0041,0000,0000,0040,0041
0042,0000,0000,0040,0042
0043,0000,0000,0040,0043
0044,0000,0000,0040,0044
0045,0000,0000,0040,0045
0046,0000,0000,0040,0046
0047,0000,0000,0040,0047
0048,0000,0000,0040,0048
0049,0000,0000,0040,0049
0050,0000,0000,0050,0050
0051,0000,0000,0050,0051
0052,0000,0000,0050,0052
0053,0000,0000,0050,0053
0054,0000,0000,0050,0054
0055,0000,0000,0050,0055
0056,0000,0000,0050,0056
0057,0000,0000,0050,0057
0058,0000,0000,0050,0058
0059,0000,0000,0050,0059
0060,0000,0000,0060,0060
0061,0000,0000,0060,0061
0062,0000,0000,0060,0062
0063,0000,0000,0060,0063
0064,0000,0000,0060,0064
0065,0000,0000,0060,0065
0066,0000,0000,0060,0066
0067,0000,0000,0060,0067
0068,0000,0000,0060,0068
0069,0000,0000,0060,0069
0070,0000,0000,0070,0070
0071,0000,0000,0070,0071
0072,0000,0000,0070,0072
0073,0000,0000,0070,0073
0074,0000,0000,0070,0074
0075,0000,0000,0070,0075
0076,0000,0000,0070,0076
0077,0000,0000,0070,0077
0078,0000,0000,0070,0078
0079,0000,0000,0070,0079
0080,0000,0000,0080,0080
0081,0000,0000,0080,0081
0082,0000,0000,0080,0082
0083,0000,0000,0080,0083
0084,0000,0000,0080,0084
0085,0000,0000,0080,0085
0086,0000,0000,0080,0086
0087,0000,0000,0080,0087
0088,0000,0000,0080,0088
0089,0000,0000,0080,0089
0090,0000,0000,0090,0090
0091,0000,0000,0090,0091
0092,0000,0000,0090,0092
0093,0000,0000,0090,0093
0094,0000,0000,0090,0094
0095,0000,0000,0090,0095
0096,0000,0000,0090,0096
0097,0000,0000,0090,0097
0098,0000,0000,0090,0098
0099,0000,0000,0090,0099
0100,0000,0100,0100,0100
0101,0000,0100,0100,0101
0102,0000,0100,0100,0102
0103,0000,0100,0100,0103
0104,0000,0100,0100,0104
0105,0000,0100,0100,0105
0106,0000,0100,0100,0106
0107,0000,0100,0100,0107
0108,0000,0100,0100,0108
0109,0000,0100,0100,0109
0110,0000,0100,0110,0110
0111,0000,0100,0110,0111
0112,0000,0100,0110,0112
0113,0000,0100,0110,0113
0114,0000,0100,0110,0114
0115,0000,0100,0110,0115
0116,0000,0100,0110,0116
0117,0000,0100,0110,0117
0118,0000,0100,0110,0118
0119,0000,0100,0110,0119
0120,0000,0100,0120,0120
0121,0000,0100,0120,0121
0122,0000,0100,0120,0122
0123,0000,0100,0120,0123
0124,0000,0100,0120,0124
0125,0000,0100,0120,0125
0126,0000,0100,0120,0126
0127,0000,0100,0120,0127
0128,0000,0100,0120,0128
0129,0000,0100,0120,0129
0130,0000,0100,0130,0130
0131,0000,0100,0130,0131
0132,0000,0100,0130,0132
0133,0000,0100,0130,0133
0134,0000,0100,0130,0134
0135,0000,0100,0130,0135
0136,0000,0100,0130,0136
0137,0000,0100,0130,0137
0138,0000,0100,0130,0138
0139,0000,0100,0130,0139
0140,0000,0100,0140,0140
0141,0000,0100,0140,0141
0142,0000,0100,0140,0142
0143,0000,0100,0140,0143
0144,0000,0100,0140,0144
0145,0000,0100,0140,0145
0146,0000,0100,0140,0146
0147,0000,0100,0140,0147
0148,0000,0100,0140,0148
0149,0000,0100,0140,0149
0150,0000,0100,0150,0150
0151,0000,0100,0150,0151
0152,0000,0100,0150,0152
0153,0000,0100,0150,0153
0154,0000,0100,0150,0154
0155,0000,0100,0150,0155
0156,0000,0100,0150,0156
0157,0000,0100,0150,0157
0158,0000,0100,0150,0158
0159,0000,0100,0150,0159
0160,0000,0100,0160,0160
0161,0000,0100,0160,0161
0162,0000,0100,0160,0162
0163,0000,0100,0160,0163
0164,0000,0100,0160,0164
0165,0000,0100,0160,0165
0166,0000,0100,0160,0166
0167,0000,0100,0160,0167
0168,0000,0100,0160,0168
0169,0000,0100,0160,0169
0170,0000,0100,0170,0170
0171,0000,0100,0170,0171
0172,0000,0100,0170,0172
0173,0000,0100,0170,0173
0174,0000,0100,0170,0174
0175,0000,0100,0170,0175
0176,0000,0100,0170,0176
0177,0000,0100,0170,0177
0178,0000,0100,0170,0178
0179,0000,0100,0170,0179
0180,0000,0100,0180,0180
0181,0000,0100,0180,0181
0182,0000,0100,0180,0182
0183,0000,0100,0180,0183
0184,0000,0100,0180,0184
0185,0000,0100,0180,0185
0186,0000,0100,0180,0186
0187,0000,0100,0180,0187
0188,0000,0100,0180,0188
0189,0000,0100,0180,0189
0190,0000,0100,0190,0190
0191,0000,0100,0190,0191
0192,0000,0100,0190,0192
0193,0000,0100,0190,0193
0194,0000,0100,0190,0194
0195,0000,0100,0190,0195
0196,0000,0100,0190,0196
0197,0000,0100,0190,0197
0198,0000,0100,0190,0198
0199,0000,0100,0190,0199
0200,0000,0200,0200,0200
0201,0000,0200,0200,0201
0202,0000,0200,0200,0202
0203,0000,0200,0200,0203
0204,0000,0200,0200,0204
0205,0000,0200,0200,0205
0206,0000,0200,0200,0206
0207,0000,0200,0200,0207
0208,0000,0200,0200,0208
0209,0000,0200,0200,0209
0210,0000,0200,0210,0210
0211,0000,0200,0210,0211
0212,0000,0200,0210,0212
0213,0000,0200,0210,0213
0214,0000,0200,0210,0214
0215,0000,0200,0210,0215
0216,0000,0200,0210,0216
0217,0000,0200,0210,0217
0218,0000,0200,0210,0218
0219,0000,0200,0210,0219
0220,0000,0200,0220,0220
0221,0000,0200,0220,0221
0222,0000,0200,0220,0222
0223,0000,0200,0220,0223
0224,0000,0200,0220,0224
0225,0000,0200,0220,0225
0226,0000,0200,0220,0226
0227,0000,0200,0220,0227
0228,0000,0200,0220,0228
0229,0000,0200,0220,0229
0230,0000,0200,0230,0230
0231,0000,0200,0230,0231
0232,0000,0200,0230,0232
0233,0000,0200,0230,0233
0234,0000,0200,0230,0234
0235,0000,0200,0230,0235
0236,0000,0200,0230,0236
0237,0000,0200,0230,0237
0238,0000,0200,0230,0238
0239,0000,0200,0230,0239
0240,0000,0200,0240,0240
0241,0000,0200,0240,0241
0242,0000,0200,0240,0242
0243,0000,0200,0240,0243
0244,0000,0200,0240,0244
0245,0000,0200,0240,0245
0246,0000,0200,0240,0246
0247,0000,0200,0240,0247
0248,0000,0200,0240,0248
0249,0000,0200,0240,0249
0250,0000,0200,0250,0250
0251,0000,0200,0250,0251
0252,0000,0200,0250,0252
0253,0000,0200,0250,0253
0254,0000,0200,0250,0254
0255,0000,0200,0250,0255
0256,0000,0200,0250,0256
0257,0000,0200,0250,0257
0258,0000,0200,0250,0258
0259,0000,0200,0250,0259
0260,0000,0200,0260,0260
0261,0000,0200,0260,0261
0262,0000,0200,0260,0262
0263,0000,0200,0260,0263
0264,0000,0200,0260,0264
0265,0000,0200,0260,0265
0266,0000,0200,0260,0266
0267,0000,0200,0260,0267
0268,0000,0200,0260,0268
0269,0000,0200,0260,0269
0270,0000,0200,0270,0270
0271,0000,0200,0270,0271
0272,0000,0200,0270,0272
0273,0000,0200,0270,0273
0274,0000,0200,0270,0274
0275,0000,0200,0270,0275
0276,0000,0200,0270,0276
0277,0000,0200,0270,0277
0278,0000,0200,0270,0278
0279,0000,0200,0270,0279
0280,0000,0200,0280,0280
0281,0000,0200,0280,0281
0282,0000,0200,0280,0282
0283,0000,0200,0280,0283
0284,0000,0200,0280,0284
0285,0000,0200,0280,0285
0286,0000,0200,0280,0286
0287,0000,0200,0280,0287
0288,0000,0200,0280,0288
0289,0000,0200,0280,0289
0290,0000,0200,0290,0290
0291,0000,0200,0290,0291
0292,0000,0200,0290,0292
0293,0000,0200,0290,0293
0294,0000,0200,0290,0294
0295,0000,0200,0290,0295
0296,0000,0200,0290,0296
0297,0000,0200,0290,0297
0298,0000,0200,0290,0298
0299,0000,0200,0290,0299
0300,0000,0300,0300,0300
0301,0000,0300,0300,0301
0302,0000,0300,0300,0302
0303,0000,0300,0300,0303
0304,0000,0300,0300,0304
0305,0000,0300,0300,0305
0306,0000,0300,0300,0306
0307,0000,0300,0300,0307
0308,0000,0300,0300,0308
0309,0000,0300,0300,0309
0310,0000,0300,0310,0310
0311,0000,0300,0310,0311
0312,0000,0300,0310,0312
0313,0000,0300,0310,0313
0314,0000,0300,0310,0314
0315,0000,0300,0310,0315
0316,0000,0300,0310,0316
0317,0000,0300,0310,0317
0318,0000,0300,0310,0318
0319,0000,0300,0310,0319
0320,0000,0300,0320,0320
0321,0000,0300,0320,0321
0322,0000,0300,0320,0322
0323,0000,0300,0320,0323
0324,0000,0300,0320,0324
0325,0000,0300,0320,0325
0326,0000,0300,0320,0326
0327,0000,0300,0320,0327
0328,0000,0300,0320,0328
0329,0000,0300,0320,0329
0330,0000,0300,0330,0330
0331,0000,0300,0330,0331
0332,0000,0300,0330,0332
0333,0000,0300,0330,0333
0334,0000,0300,0330,0334
0335,0000,0300,0330,0335
0336,0000,0300,0330,0336
0337,0000,0300,0330,0337
0338,0000,0300,0330,0338
0339,0000,0300,0330,0339
0340,0000,0300,0340,0340
0341,0000,0300,0340,0341
0342,0000,0300,0340,0342
0343,0000,0300,0340,0343
0344,0000,0300,0340,0344
0345,0000,0300,0340,0345
0346,0000,0300,0340,0346
0347,0000,0300,0340,0347
0348,0000,0300,0340,0348
0349,0000,0300,0340,0349
0350,0000,0300,0350,0350
0351,0000,0300,0350,0351
0352,0000,0300,0350,0352
0353,0000,0300,0350,0353
0354,0000,0300,0350,0354
0355,0000,0300,0350,0355
0356,0000,0300,0350,0356
0357,0000,0300,0350,0357
0358,0000,0300,0350,0358
0359,0000,0300,0350,0359
0360,0000,0300,0360,0360
0361,0000,0300,0360,0361
0362,0000,0300,0360,0362
0363,0000,0300,0360,0363
0364,0000,0300,0360,0364
0365,0000,0300,0360,0365
0366,0000,0300,0360,0366
0367,0000,0300,0360,0367
0368,0000,0300,0360,0368
0369,0000,0300,0360,0369
0370,0000,0300,0370,0370
0371,0000,0300,0370,0371
0372,0000,0300,0370,0372
0373,0000,0300,0370,0373
0374,0000,0300,0370,0374
0375,0000,0300,0370,0375
0376,0000,0300,0370,0376
0377,0000,0300,0370,0377
0378,0000,0300,0370,0378
0379,0000,0300,0370,0379
0380,0000,0300,0380,0380
0381,0000,0300,0380,0381
0382,0000,0300,0380,0382
0383,0000,0300,0380,0383
0384,0000,0300,0380,0384
0385,0000,0300,0380,0385
0386,0000,0300,0380,0386
0387,0000,0300,0380,0387
0388,0000,0300,0380,0388
0389,0000,0300,0380,0389
0390,0000,0300,0390,0390
0391,0000,0300,0390,0391
0392,0000,0300,0390,0392
0393,0000,0300,0390,0393
0394,0000,0300,0390,0394
0395,0000,0300,0390,0395
0396,0000,0300,0390,0396
0397,0000,0300,0390,0397
0398,0000,0300,0390,0398
0399,0000,0300,0390,0399
0400,0000,0400,0400,0400
0401,0000,0400,0400,0401
0402,0000,0400,0400,0402
0403,0000,0400,0400,0403
0404,0000,0400,0400,0404
0405,0000,0400,0400,0405
0406,0000,0400,0400,0406
0407,0000,0400,0400,0407
0408,0000,0400,0400,0408
0409,0000,0400,0400,0409
0410,0000,0400,0410,0410
0411,0000,0400,0410,0411
0412,0000,0400,0410,0412
0413,0000,0400,0410,0413
0414,0000,0400,0410,0414
0415,0000,0400,0410,0415
0416,0000,0400,0410,0416
0417,0000,0400,0410,0417
0418,0000,0400,0410,0418
0419,0000,0400,0410,0419
0420,0000,0400,0420,0420
0421,0000,0400,0420,0421
0422,0000,0400,0420,0422
0423,0000,0400,0420,0423
0424,0000,0400,0420,0424
0425,0000,0400,0420,0425
0426,0000,0400,0420,0426
0427,0000,0400,0420,0427
0428,0000,0400,0420,0428
0429,0000,0400,0420,0429
0430,0000,0400,0430,0430
0431,0000,0400,0430,0431
0432,0000,0400,0430,0432
0433,0000,0400,0430,0433
0434,0000,0400,0430,0434
0435,0000,0400,0430,0435
0436,0000,0400,0430,0436
0437,0000,0400,0430,0437
0438,0000,0400,0430,0438
0439,0000,0400,0430,0439
0440,0000,0400,0440,0440
0441,0000,0400,0440,0441
0442,0000,0400,0440,0442
0443,0000,0400,0440,0443
0444,0000,0400,0440,0444
0445,0000,0400,0440,0445
0446,0000,0400,0440,0446
0447,0000,0400,0440,0447
0448,0000,0400,0440,0448
0449,0000,0400,0440,0449
0450,0000,0400,0450,0450
0451,0000,0400,0450,0451
0452,0000,0400,0450,0452
